$ [qdt_kol001] [2015 - 2048],
$ [qdt_kol001],
JDAY,Q (M3/S)
1,0
2,0.0532
3,0.0741
4,0.0728
5,0.0716
6,0.0705
7,0.0692
8,0.068
9,0.0668
10,0.0658
11,0.0646
12,0.0635
13,0.0742
14,0.0934
15,0.0918
16,0.0903
17,0.0966
18,0.095
19,0.0933
20,0.0918
21,0.0902
22,0.0886
23,0.0872
24,0.0857
25,0.0842
26,0.0836
27,0.0851
28,0.0837
29,0.0886
30,0.0871
31,0.0856
32,0.0842
33,0.0831
34,0.0817
35,0.0863
36,0.0848
37,0.0834
38,0.0819
39,0.0805
40,0.0791
41,0.0849
42,0.0835
43,0.0821
44,0.0807
45,0.0883
46,0.0868
47,0.0852
48,0.0853
49,0.0838
50,0.0824
51,0.081
52,0.0796
53,0.0783
54,0.0769
55,0.0756
56,0.0946
57,0.1008
58,0.0992
59,0.0974
60,0.1014
61,0.0997
62,0.098
63,0.0964
64,0.0947
65,0.0931
66,0.0914
67,0.0899
68,0.0884
69,0.0869
70,0.0855
71,0.0843
72,0.1133
73,0.1324
74,0.1324
75,0.1342
76,0.1428
77,0.1405
78,0.138
79,0.1356
80,0.142
81,0.1396
82,0.1376
83,0.1353
84,0.1405
85,0.1385
86,0.1361
87,0.1346
88,0.1824
89,0.1993
90,0.2087
91,0.2055
92,0.2045
93,0.2009
94,0.1978
95,0.196
96,0.1926
97,0.1893
98,0.1944
99,0.1913
100,0.1971
101,0.2107
102,0.2075
103,0.204
104,0.2005
105,0.1971
106,0.1937
107,0.1904
108,0.1872
109,0.1841
110,0.1809
111,0.1778
112,0.1748
113,0.1719
114,0.1689
115,0.166
116,0.1632
117,0.1604
118,0.1577
119,0.155
120,0.1524
121,0.1498
122,0.1473
123,0.1448
124,0.1423
125,0.1399
126,0.1375
127,0.1352
128,0.1328
129,0.1306
130,0.1284
131,0.1261
132,0.124
133,0.1219
134,0.1198
135,0.1178
136,0.1158
137,0.1138
138,0.112
139,0.11
140,0.1081
141,0.1063
142,0.1045
143,0.1027
144,0.1009
145,0.0993
146,0.0975
147,0.0959
148,0.0943
149,0.0927
150,0.1825
151,0.0896
152,0.088
153,0.0865
154,0.0851
155,0.4702
156,0.0822
157,0.0808
158,0.0795
159,0.0781
160,0.0768
161,0.0755
162,0.0742
163,0.0729
164,0.0716
165,0.0705
166,0.0693
167,0.0681
168,0.0669
169,0.0658
170,0.0646
171,0.0635
172,0.0625
173,0.0614
174,0.0604
175,0.0593
176,0.0584
177,0.0573
178,0.0564
179,0.0555
180,0.0545
181,0.0536
182,0.0526
183,0.0517
184,0.0509
185,0.0499
186,0.0491
187,0.0483
188,0.0475
189,0.0467
190,0.0458
191,0.0451
192,0.0443
193,0.0436
194,0.0428
195,0.0421
196,0.0414
197,0.0407
198,0.04
199,0.0393
200,0.0387
201,0.038
202,0.0374
203,0.0367
204,0.0361
205,0.0355
206,0.0348
207,0.0342
208,0.0336
209,0.0332
210,0.0326
211,0.032
212,0.0314
213,0.031
214,0.0304
215,0.0299
216,0.0294
217,0.0288
218,0.0284
219,0.0279
220,0.0274
221,0.027
222,0.0265
223,0.026
224,0.0256
225,0.0252
226,0.0247
227,0.0244
228,0.0239
229,0.0236
230,0.0231
231,0.0227
232,0.0223
233,0.0219
234,0.0216
235,0.0212
236,0.0209
237,0.0205
238,0.0202
239,0.0198
240,0.0195
241,0.0191
242,0.0188
243,0.0185
244,0.0182
245,0.0178
246,0.0176
247,0.0172
248,0.017
249,0.0166
250,0.0164
251,0.0162
252,0.0158
253,0.0156
254,0.0154
255,0.015
256,0.0148
257,0.0145
258,0.0143
259,0.0141
260,0.0138
261,0.0136
262,0.0134
263,0.0131
264,0.0129
265,0.0127
266,0.0124
267,0.0123
268,0.0121
269,0.0118
270,0.0116
271,0.0115
272,0.0113
273,0.011
274,0.0109
275,0.0107
276,0.0106
277,0.0103
278,0.0102
279,0.01
280,0.0098
281,0.0096
282,0.0095
283,0.0093
284,0.0091
285,0.009
286,0.0088
287,0.0087
288,0.0086
289,0.0084
290,0.0082
291,0.0081
292,0.008
293,0.0079
294,0.0077
295,0.0076
296,0.0075
297,0.0073
298,0.0072
299,0.007
300,0.0069
301,0.0068
302,0.0067
303,0.0066
304,0.0064
305,0.0063
306,0.0063
307,0.0062
308,0.0061
309,0.006
310,0.0059
311,0.0057
312,0.0056
313,0.0056
314,0.0055
315,0.0054
316,0.0053
317,0.0052
318,0.0052
319,0.005
320,0.0049
321,0.0048
322,0.0048
323,0.0047
324,0.0046
325,0.0046
326,0.0045
327,0.0043
328,0.0043
329,0.0042
330,0.0042
331,0.0041
332,0.004
333,0.004
334,0.0039
335,0.0039
336,0.0038
337,0.0036
338,0.0036
339,0.0035
340,0.0035
341,0.0034
342,0.0034
343,0.0033
344,0.0033
345,0.0032
346,0.0032
347,0.0032
348,0.003
349,0.003
350,0.0029
351,0.0029
352,0.0028
353,0.0028
354,0.0027
355,0.0027
356,0.0027
357,0.0026
358,0.0026
359,0.0026
360,0.0025
361,0.0025
362,0.0025
363,0.0023
364,0.0023
365,0.0023
366,0.0022
367,0.0022
368,0.0022
369,0.0021
370,0.0021
371,0.0021
372,0.002
373,0.002
374,0.002
375,0.0019
376,0.0019
377,0.0019
378,0.0019
379,0.0018
380,0.0018
381,0.0018
382,0.0018
383,0.0016
384,0.0045
385,0.0043
386,0.0043
387,0.0042
388,0.0041
389,0.0041
390,0.004
391,0.004
392,0.0039
393,0.0039
394,0.0038
395,0.0036
396,0.0121
397,0.0118
398,0.0284
399,0.0443
400,0.0436
401,0.0429
402,0.0421
403,0.0489
404,0.0481
405,0.0472
406,0.0464
407,0.054
408,0.0549
409,0.0599
410,0.0641
411,0.0728
412,0.0715
413,0.0703
414,0.0694
415,0.0682
416,0.0671
417,0.0659
418,0.0659
419,0.0659
420,0.0647
421,0.0637
422,0.0746
423,0.0733
424,0.0723
425,0.0828
426,0.0814
427,0.08
428,0.0787
429,0.0776
430,0.0985
431,0.1057
432,0.1127
433,0.1107
434,0.1088
435,0.1069
436,0.1052
437,0.1034
438,0.1016
439,0.0999
440,0.0986
441,0.1441
442,0.1417
443,0.1393
444,0.1369
445,0.1682
446,0.1666
447,0.1638
448,0.1611
449,0.1583
