$ [qin_kol001_seg002_sub002] [2015 - 2048],
$ [qin_kol001_seg002_sub002],
JDAY,Q (M3/S)
1,0.0239
2,0.7483
3,1.0324
4,1.0148
5,0.9989
6,0.9829
7,0.9653
8,0.9494
9,0.9334
10,0.9191
11,0.9031
12,0.8951
13,1.0419
14,1.2956
15,1.2733
16,1.2557
17,1.3387
18,1.3164
19,1.294
20,1.2733
21,1.251
22,1.2302
23,1.2095
24,1.1903
25,1.1696
26,1.16
27,1.1823
28,1.1632
29,1.2302
30,1.2095
31,1.1887
32,1.168
33,1.1536
34,1.1329
35,1.1967
36,1.176
37,1.1568
38,1.1377
39,1.1185
40,1.0994
41,1.1776
42,1.1584
43,1.1377
44,1.1249
45,1.2238
46,1.2031
47,1.1823
48,1.1823
49,1.1632
50,1.1441
51,1.1249
52,1.1058
53,1.0882
54,1.0691
55,1.0707
56,1.31
57,1.3946
58,1.3706
59,1.3483
60,1.4041
61,1.3802
62,1.3563
63,1.3339
64,1.3116
65,1.2908
66,1.2685
67,1.2478
68,1.227
69,1.2063
70,1.1855
71,1.1712
72,1.5749
73,1.8254
74,1.827
75,1.8573
76,1.9674
77,1.9339
78,1.902
79,1.8701
80,1.9562
81,1.9227
82,1.8956
83,1.8637
84,1.9355
85,1.9083
86,1.8764
87,1.8541
88,2.5083
89,2.746
90,2.8625
91,2.8194
92,2.8051
93,2.7588
94,2.7157
95,2.6902
96,2.6455
97,2.6008
98,2.6695
99,2.628
100,2.7061
101,2.8912
102,2.8466
103,2.7987
104,2.7524
105,2.7061
106,2.6599
107,2.6152
108,2.5705
109,2.5274
110,2.486
111,2.4429
112,2.403
113,2.3615
114,2.3216
115,2.2833
116,2.245
117,2.2067
118,2.17
119,2.1333
120,2.0982
121,2.0615
122,2.028
123,1.9929
124,1.9594
125,1.9275
126,1.8956
127,1.8637
128,1.8318
129,1.8014
130,1.7711
131,1.7408
132,1.7121
133,1.6834
134,1.6546
135,1.6275
136,1.6004
137,1.5733
138,1.5461
139,1.5206
140,1.4951
141,1.4711
142,1.4456
143,1.4217
144,1.3978
145,1.3738
146,1.3515
147,1.3291
148,1.3068
149,1.2845
150,2.0535
151,1.2462
